Abbreviation,Full Name,Status
NOR,Lando Norris,Finished
PIA,Oscar Piastri,Finished
HUL,Nico Hulkenberg,Finished
HAM,Lewis Hamilton,Finished
VER,Max Verstappen,Finished
GAS,Pierre Gasly,Finished
STR,Lance Stroll,Finished
ALB,Alexander Albon,Finished
ALO,Fernando Alonso,Finished
RUS,George Russell,Finished
BEA,Oliver Bearman,Finished
SAI,Carlos Sainz,Finished
OCO,Esteban Ocon,Finished
LEC,Charles Leclerc,Finished
TSU,Yuki Tsunoda,Lapped
ANT,Kimi Antonelli,Retired
HAD,Isack Hadjar,Retired
BOR,Gabriel Bortoleto,Retired
LAW,Liam Lawson,Retired
COL,Franco Colapinto,Did not start
